                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.4901,                 1.2569,                 1.6138,                0.74309,                0.56205,                0.63433,                0.39128,                 1.9672,                 1.0567,                 1.4775,               0.007525,               0.007525,               0.007525
                     77,                  1.488,                 1.2499,                 1.6097,                 0.7351,                 0.5681,                0.62952,                0.38589,                 1.9721,                 1.0581,                 1.4802,               0.007492,               0.007492,               0.007492
                     78,                 1.4739,                 1.2286,                 1.6018,                0.73761,                 0.5526,                0.62956,                0.38409,                 1.9614,                 1.0487,                 1.4803,               0.007459,               0.007459,               0.007459
                     79,                 1.4769,                 1.2221,                 1.5998,                0.72121,                0.59304,                0.64478,                0.39523,                 1.9629,                 1.0362,                 1.4743,               0.007426,               0.007426,               0.007426
                     80,                 1.4779,                 1.2303,                 1.5904,                  0.775,                0.56814,                0.65104,                0.40405,                  1.939,                   1.02,                 1.4556,               0.007393,               0.007393,               0.007393
                     81,                 1.4709,                  1.202,                 1.5823,                0.72581,                0.60184,                0.64655,                0.39941,                 1.9431,                 1.0271,                 1.4486,                0.00736,                0.00736,                0.00736
                     82,                 1.4569,                 1.1997,                 1.5763,                0.77518,                0.59348,                0.65819,                0.40352,                 1.9386,                 1.0212,                 1.4555,               0.007327,               0.007327,               0.007327
                     83,                 1.4315,                 1.1714,                 1.5694,                0.80388,                0.57424,                0.65586,                0.41322,                 1.9255,                 1.0095,                 1.4431,               0.007294,               0.007294,               0.007294
                     84,                 1.4468,                 1.1799,                 1.5632,                0.80625,                0.57346,                0.65319,                0.41781,                 1.9231,                0.99917,                 1.4435,               0.007261,               0.007261,               0.007261
                     85,                 1.4278,                 1.1722,                 1.5675,                0.77127,                0.60146,                0.66407,                0.41538,                 1.9189,                 1.0025,                 1.4343,               0.007228,               0.007228,               0.007228
                     86,                 1.4486,                 1.1812,                 1.5654,                0.80716,                0.59265,                0.66657,                0.42501,                  1.902,                0.99493,                 1.4289,               0.007195,               0.007195,               0.007195
                     87,                 1.4288,                 1.1551,                 1.5521,                0.81829,                0.57658,                0.66961,                0.42947,                 1.8965,                0.98423,                 1.4263,               0.007162,               0.007162,               0.007162
                     88,                 1.4311,                 1.1545,                 1.5534,                0.78805,                0.60477,                0.66797,                0.42702,                 1.9031,                0.97567,                 1.4214,               0.007129,               0.007129,               0.007129
                     89,                 1.4267,                 1.1593,                 1.5514,                0.76312,                0.60685,                0.66756,                0.43007,                  1.896,                0.97071,                  1.413,               0.007096,               0.007096,               0.007096
                     90,                 1.4066,                 1.1273,                 1.5421,                 0.7865,                0.59917,                0.67341,                 0.4319,                 1.8909,                0.96657,                 1.4151,               0.007063,               0.007063,               0.007063
                     91,                 1.4105,                  1.139,                 1.5296,                0.79868,                0.58676,                0.67463,                 0.4366,                 1.8731,                0.96718,                 1.4024,                0.00703,                0.00703,                0.00703
                     92,                  1.391,                 1.1154,                  1.525,                0.80288,                0.59889,                0.67948,                0.43986,                 1.8633,                0.95655,                 1.3888,               0.006997,               0.006997,               0.006997
                     93,                  1.403,                 1.1307,                 1.5275,                0.83619,                0.58125,                0.68312,                0.44462,                 1.8542,                0.94818,                 1.3754,               0.006964,               0.006964,               0.006964
                     94,                 1.3831,                 1.1077,                 1.5157,                0.81495,                0.59685,                0.68097,                0.44616,                 1.8506,                0.94801,                 1.3761,               0.006931,               0.006931,               0.006931
                     95,                 1.3889,                 1.1033,                 1.5141,                0.78663,                0.61771,                 0.6866,                0.44605,                 1.8438,                0.94752,                 1.3631,               0.006898,               0.006898,               0.006898
                     96,                 1.3972,                  1.101,                  1.519,                0.80824,                0.61928,                0.69206,                0.44852,                   1.85,                0.94251,                 1.3602,               0.006865,               0.006865,               0.006865
                     97,                 1.3867,                 1.0907,                 1.5101,                0.80067,                 0.6405,                0.69499,                0.45414,                 1.8419,                0.93621,                 1.3593,               0.006832,               0.006832,               0.006832
                     98,                 1.3812,                 1.0899,                 1.5076,                0.83851,                0.62362,                0.69722,                0.45838,                 1.8387,                 0.9359,                 1.3559,               0.006799,               0.006799,               0.006799
                     99,                  1.364,                 1.0787,                 1.5103,                0.83888,                0.62681,                0.69918,                0.46399,                 1.8317,                0.91817,                  1.352,               0.006766,               0.006766,               0.006766
                    100,                 1.3612,                  1.068,                 1.4898,                0.83185,                 0.6336,                0.70279,                0.46329,                 1.8292,                0.91293,                 1.3473,               0.006733,               0.006733,               0.006733
                    101,                 1.3599,                 1.0719,                 1.4945,                0.82014,                0.64003,                0.70477,                0.46604,                  1.822,                 0.9168,                 1.3383,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.3568,                 1.0617,                 1.4855,                0.81207,                0.63412,                0.69736,                  0.465,                 1.8193,                0.91436,                 1.3388,               0.006667,               0.006667,               0.006667
                    103,                 1.3492,                 1.0523,                 1.4866,                0.82653,                 0.6329,                0.69822,                 0.4678,                 1.8184,                0.90775,                 1.3375,               0.006634,               0.006634,               0.006634
                    104,                 1.3527,                 1.0589,                 1.4781,                0.81297,                0.64206,                0.70134,                0.47168,                  1.808,                 0.9012,                 1.3293,               0.006601,               0.006601,               0.006601
                    105,                 1.3298,                 1.0271,                 1.4607,                0.82743,                0.64284,                0.70723,                  0.476,                 1.8003,                0.89958,                 1.3209,               0.006568,               0.006568,               0.006568
                    106,                 1.3349,                 1.0331,                 1.4741,                0.82972,                 0.6465,                0.70767,                0.47722,                 1.7922,                0.89235,                 1.3116,               0.006535,               0.006535,               0.006535
                    107,                 1.3314,                 1.0349,                 1.4609,                0.83078,                0.64447,                 0.7114,                0.47909,                 1.7865,                0.89284,                 1.3089,               0.006502,               0.006502,               0.006502
                    108,                 1.3254,                   1.03,                 1.4522,                0.80159,                0.66308,                0.71068,                0.47945,                 1.7863,                0.89267,                 1.3054,               0.006469,               0.006469,               0.006469
                    109,                 1.3306,                 1.0257,                 1.4549,                0.82409,                0.64922,                0.70884,                0.48123,                  1.787,                0.88746,                 1.3067,               0.006436,               0.006436,               0.006436
                    110,                 1.3171,                 1.0168,                 1.4445,                 0.8516,                0.63443,                  0.711,                0.48478,                 1.7898,                0.88577,                 1.3013,               0.006403,               0.006403,               0.006403
                    111,                 1.3207,                 1.0186,                 1.4543,                0.82222,                0.64548,                0.71183,                0.48451,                  1.788,                0.88309,                 1.2975,                0.00637,                0.00637,                0.00637
                    112,                 1.3069,                0.99995,                 1.4548,                0.81014,                0.66242,                0.71299,                 0.4845,                 1.7828,                0.88113,                 1.2988,               0.006337,               0.006337,               0.006337
                    113,                 1.3017,                0.99597,                 1.4405,                0.83288,                0.66022,                0.71548,                0.48489,                 1.7765,                0.87401,                 1.2993,               0.006304,               0.006304,               0.006304
                    114,                 1.3025,                0.99003,                  1.437,                0.83433,                0.65679,                0.71595,                0.48927,                 1.7749,                0.86594,                 1.2923,               0.006271,               0.006271,               0.006271
                    115,                 1.2938,                0.98975,                 1.4322,                0.84487,                0.66052,                0.72097,                 0.4912,                 1.7717,                0.86536,                 1.2911,               0.006238,               0.006238,               0.006238
                    116,                 1.2826,                  0.977,                 1.4198,                0.83871,                0.66459,                0.72149,                0.49273,                  1.767,                0.86712,                 1.2851,               0.006205,               0.006205,               0.006205
                    117,                 1.3079,                0.99999,                 1.4233,                0.85161,                0.66074,                0.72097,                0.49487,                 1.7633,                0.86304,                 1.2813,               0.006172,               0.006172,               0.006172
                    118,                 1.2856,                0.97999,                 1.4223,                 0.8486,                0.67268,                0.72426,                0.49865,                 1.7595,                0.85717,                 1.2746,               0.006139,               0.006139,               0.006139
                    119,                 1.2954,                0.97464,                 1.4182,                0.84501,                0.67208,                0.72457,                0.49999,                 1.7561,                0.85713,                 1.2732,               0.006106,               0.006106,               0.006106
                    120,                 1.2923,                0.97887,                 1.4224,                0.84677,                0.66165,                 0.7244,                0.49995,                 1.7537,                0.85334,                 1.2677,               0.006073,               0.006073,               0.006073
                    121,                 1.2933,                0.96834,                 1.4153,                0.84571,                0.67301,                0.72418,                0.50165,                 1.7498,                0.84851,                 1.2619,                0.00604,                0.00604,                0.00604
                    122,                 1.2749,                0.96132,                 1.4118,                0.84473,                0.68292,                0.72664,                0.50178,                 1.7447,                0.84935,                 1.2582,               0.006007,               0.006007,               0.006007
                    123,                 1.2728,                0.96416,                 1.4105,                0.85117,                0.68092,                0.72736,                0.50501,                 1.7393,                0.84532,                 1.2522,               0.005974,               0.005974,               0.005974
                    124,                 1.2547,                0.94843,                  1.397,                0.86592,                0.67642,                0.72971,                0.50748,                 1.7336,                 0.8415,                 1.2496,               0.005941,               0.005941,               0.005941
                    125,                 1.2643,                0.94333,                 1.3946,                 0.8596,                0.67845,                0.73253,                0.51119,                 1.7293,                0.84161,                 1.2464,               0.005908,               0.005908,               0.005908
                    126,                 1.2527,                0.93875,                 1.3922,                0.85257,                 0.6805,                0.73297,                 0.5119,                 1.7278,                0.83933,                 1.2434,               0.005875,               0.005875,               0.005875
                    127,                 1.2487,                0.93402,                 1.3913,                0.85742,                0.68256,                0.73385,                0.51281,                 1.7256,                0.83746,                 1.2404,               0.005842,               0.005842,               0.005842
                    128,                 1.2549,                0.93083,                 1.3896,                0.85597,                0.68465,                0.73508,                0.51454,                 1.7234,                0.83767,                 1.2384,               0.005809,               0.005809,               0.005809
                    129,                 1.2474,                0.93397,                 1.3944,                0.85942,                0.67813,                0.73547,                0.51441,                 1.7225,                 0.8352,                 1.2367,               0.005776,               0.005776,               0.005776
                    130,                  1.249,                0.92742,                 1.3849,                 0.8776,                0.67277,                0.73507,                0.51607,                 1.7196,                0.83333,                  1.235,               0.005743,               0.005743,               0.005743
                    131,                 1.2364,                0.91285,                  1.378,                   0.87,                0.68562,                0.73636,                0.51684,                  1.715,                0.83011,                 1.2303,                0.00571,                0.00571,                0.00571
                    132,                 1.2542,                0.92682,                 1.3843,                0.88072,                0.68276,                0.73803,                0.52052,                 1.7128,                 0.8277,                 1.2283,               0.005677,               0.005677,               0.005677
                    133,                 1.2461,                0.91738,                  1.366,                0.88564,                0.67973,                0.73821,                0.52069,                 1.7106,                0.82838,                 1.2247,               0.005644,               0.005644,               0.005644
                    134,                 1.2249,                0.90834,                 1.3628,                0.87716,                0.68421,                0.73784,                0.52089,                 1.7063,                 0.8214,                 1.2213,               0.005611,               0.005611,               0.005611
                    135,                 1.2218,                0.89803,                 1.3678,                0.87639,                 0.6826,                0.73813,                0.52317,                 1.7031,                0.81818,                 1.2191,               0.005578,               0.005578,               0.005578
                    136,                 1.2222,                0.89333,                 1.3559,                 0.8623,                0.69156,                0.73858,                0.52327,                  1.701,                0.81474,                 1.2185,               0.005545,               0.005545,               0.005545
                    137,                 1.2253,                0.89724,                 1.3533,                0.86225,                0.69191,                0.73877,                0.52569,                 1.6968,                0.81179,                 1.2164,               0.005512,               0.005512,               0.005512
                    138,                 1.2149,                0.88474,                 1.3535,                0.86287,                0.69136,                0.73876,                0.52616,                 1.6954,                0.81075,                 1.2124,               0.005479,               0.005479,               0.005479
                    139,                 1.2173,                 0.8909,                 1.3423,                0.86169,                0.69272,                0.73905,                0.52725,                 1.6925,                0.81094,                  1.209,               0.005446,               0.005446,               0.005446
                    140,                 1.2035,                0.88679,                 1.3547,                0.86764,                 0.6916,                 0.7395,                 0.5283,                 1.6893,                0.80847,                 1.2046,               0.005413,               0.005413,               0.005413
                    141,                  1.207,                0.87652,                 1.3446,                0.86891,                0.69166,                0.73976,                0.52781,                 1.6872,                0.80389,                 1.2029,                0.00538,                0.00538,                0.00538
