                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.0377,                 1.1157,                 1.5072,                0.85299,                0.82235,                0.87427,                0.68238,                0.97748,                0.79689,                 1.4303,               0.007525,               0.007525,               0.007525
                     77,                 1.0294,                 1.1072,                 1.5054,                 0.8558,                0.80499,                0.87794,                0.68622,                0.96961,                0.78657,                 1.4253,               0.007492,               0.007492,               0.007492
                     78,                 1.0233,                 1.0855,                 1.4966,                 0.8651,                0.82597,                0.88677,                0.69298,                0.95278,                 0.7697,                 1.4132,               0.007459,               0.007459,               0.007459
                     79,                 1.0161,                 1.0822,                 1.4894,                0.87213,                0.81315,                0.88467,                0.69802,                0.95093,                0.76252,                 1.4064,               0.007426,               0.007426,               0.007426
                     80,                 1.0072,                 1.0734,                 1.4902,                0.84625,                0.83673,                0.88548,                0.70461,                 0.9308,                0.75997,                 1.3939,               0.007393,               0.007393,               0.007393
                     81,                 1.0029,                 1.0664,                 1.4757,                0.84151,                0.84452,                0.88318,                0.70187,                0.92842,                0.76244,                 1.3886,                0.00736,                0.00736,                0.00736
                     82,                0.99339,                 1.0613,                 1.4733,                0.86399,                0.83283,                0.89291,                0.70987,                0.92818,                 0.7576,                 1.3865,               0.007327,               0.007327,               0.007327
                     83,                0.97713,                 1.0186,                 1.4559,                0.87219,                0.83693,                0.89548,                0.71665,                0.91993,                0.74345,                 1.3802,               0.007294,               0.007294,               0.007294
                     84,                0.97899,                 1.0352,                 1.4603,                0.88739,                0.82302,                0.90117,                0.72148,                0.91542,                0.73586,                 1.3762,               0.007261,               0.007261,               0.007261
                     85,                 0.9704,                 1.0288,                 1.4536,                0.87284,                0.84052,                0.89506,                0.71886,                0.90668,                0.73465,                 1.3728,               0.007228,               0.007228,               0.007228
                     86,                0.97157,                 1.0281,                  1.449,                0.87542,                0.85575,                0.89842,                0.72359,                0.90201,                0.72131,                 1.3662,               0.007195,               0.007195,               0.007195
                     87,                0.96039,                 1.0085,                 1.4464,                0.87472,                0.83792,                0.89725,                0.72777,                0.89414,                0.71785,                 1.3599,               0.007162,               0.007162,               0.007162
                     88,                0.95763,                 1.0126,                 1.4366,                 0.8989,                0.84303,                0.90741,                0.74238,                0.88693,                0.70543,                 1.3534,               0.007129,               0.007129,               0.007129
                     89,                0.95943,                 1.0045,                 1.4346,                0.90657,                0.82923,                0.90093,                0.73834,                0.88195,                 0.7112,                 1.3496,               0.007096,               0.007096,               0.007096
                     90,                0.95109,                 0.9866,                 1.4319,                0.90591,                0.83885,                0.89611,                0.73921,                0.87767,                0.70254,                  1.348,               0.007063,               0.007063,               0.007063
                     91,                0.94431,                0.99554,                 1.4269,                 0.8896,                0.85171,                0.90264,                0.74271,                0.86919,                 0.6884,                 1.3397,                0.00703,                0.00703,                0.00703
                     92,                0.92745,                0.97616,                 1.4167,                 0.8927,                0.85164,                0.90748,                0.75039,                0.86244,                0.69134,                 1.3317,               0.006997,               0.006997,               0.006997
                     93,                0.93641,                0.97211,                 1.4224,                0.90301,                0.84117,                0.90612,                0.75296,                0.86009,                0.68708,                 1.3262,               0.006964,               0.006964,               0.006964
                     94,                0.92324,                0.95599,                 1.4024,                 0.8983,                0.86925,                0.90671,                 0.7539,                0.85822,                 0.6765,                 1.3262,               0.006931,               0.006931,               0.006931
                     95,                0.91131,                0.94827,                 1.4022,                0.89128,                0.87398,                 0.9085,                0.75438,                0.84785,                0.68011,                  1.316,               0.006898,               0.006898,               0.006898
                     96,                0.91451,                0.95001,                 1.4014,                0.89944,                0.86336,                0.91496,                0.76288,                 0.8413,                0.67244,                 1.3141,               0.006865,               0.006865,               0.006865
                     97,                 0.9113,                0.94134,                 1.3961,                0.90627,                0.86355,                0.91781,                0.77087,                0.83741,                 0.6675,                 1.3093,               0.006832,               0.006832,               0.006832
                     98,                0.90388,                0.93398,                 1.3877,                0.91999,                0.86284,                0.92037,                0.77453,                0.83244,                0.65996,                 1.3034,               0.006799,               0.006799,               0.006799
                     99,                 0.9015,                0.93741,                 1.3873,                0.90333,                0.87187,                 0.9199,                0.77602,                0.82884,                0.65976,                 1.3013,               0.006766,               0.006766,               0.006766
                    100,                0.89198,                0.92309,                 1.3812,                0.91952,                0.85976,                0.92233,                0.77958,                0.82518,                0.65595,                 1.2975,               0.006733,               0.006733,               0.006733
                    101,                0.89651,                0.91603,                 1.3757,                0.91719,                0.86679,                0.92281,                0.78193,                0.82181,                0.65119,                 1.2965,                 0.0067,                 0.0067,                 0.0067
                    102,                0.87964,                0.91342,                 1.3707,                0.90737,                0.87301,                0.92231,                0.78254,                0.81982,                0.65107,                 1.2942,               0.006667,               0.006667,               0.006667
                    103,                0.87535,                 0.8959,                 1.3622,                0.90844,                0.86694,                0.92403,                0.78855,                0.81352,                0.65285,                 1.2868,               0.006634,               0.006634,               0.006634
                    104,                0.87546,                0.90585,                 1.3614,                0.90632,                0.88124,                0.92678,                0.79164,                0.81292,                0.65103,                 1.2865,               0.006601,               0.006601,               0.006601
                    105,                 0.8668,                0.88001,                 1.3521,                  0.912,                0.88299,                0.92761,                0.79049,                0.80792,                0.65084,                 1.2805,               0.006568,               0.006568,               0.006568
                    106,                0.85942,                0.87748,                 1.3544,                0.91799,                0.87812,                0.92683,                0.79343,                0.79779,                0.64427,                 1.2701,               0.006535,               0.006535,               0.006535
                    107,                 0.8563,                0.87574,                 1.3448,                0.90971,                0.88801,                0.92712,                0.79609,                0.79244,                 0.6397,                 1.2675,               0.006502,               0.006502,               0.006502
                    108,                0.85452,                0.86177,                 1.3435,                0.90054,                 0.8968,                0.92856,                0.79772,                0.78927,                0.63495,                  1.263,               0.006469,               0.006469,               0.006469
                    109,                0.85236,                0.86427,                 1.3382,                0.91159,                0.88522,                0.92953,                0.79921,                0.78297,                0.62996,                 1.2588,               0.006436,               0.006436,               0.006436
                    110,                0.84124,                0.85742,                 1.3314,                0.91874,                 0.8819,                0.93028,                0.80042,                0.77767,                0.62514,                 1.2561,               0.006403,               0.006403,               0.006403
                    111,                0.84771,                0.85811,                 1.3324,                0.91407,                0.89055,                0.93235,                0.80596,                0.77243,                0.61843,                 1.2511,                0.00637,                0.00637,                0.00637
                    112,                0.84255,                0.84599,                 1.3347,                0.92339,                0.88241,                0.93224,                0.80455,                0.77214,                0.62241,                 1.2515,               0.006337,               0.006337,               0.006337
                    113,                 0.8354,                0.84332,                 1.3274,                0.93266,                0.87539,                 0.9334,                0.80947,                0.76996,                0.61806,                 1.2503,               0.006304,               0.006304,               0.006304
                    114,                0.82257,                0.83274,                 1.3208,                0.93028,                0.88113,                 0.9337,                0.80869,                0.76833,                0.61309,                 1.2492,               0.006271,               0.006271,               0.006271
                    115,                0.82586,                0.83359,                 1.3215,                0.93031,                 0.8863,                0.93442,                0.80893,                0.76827,                0.60748,                 1.2507,               0.006238,               0.006238,               0.006238
                    116,                0.81762,                0.82408,                 1.3136,                0.92915,                0.88552,                0.93433,                 0.8138,                0.76533,                0.60681,                 1.2488,               0.006205,               0.006205,               0.006205
