               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  77,              1.2759,              1.5114,               1.488,             0.74002,             0.71707,             0.76862,             0.52751,              1.1776,              1.0427,               1.507,            0.007492,            0.007492,            0.007492
                  78,              1.2952,              1.5317,              1.4986,             0.76791,             0.70009,             0.76471,             0.52702,              1.1821,              1.0461,              1.5074,            0.007459,            0.007459,            0.007459
                  79,              1.2783,              1.5079,              1.4802,             0.77005,             0.68897,             0.76804,             0.53625,              1.1613,              1.0493,              1.4956,            0.007426,            0.007426,            0.007426
                  80,              1.2814,              1.5166,              1.4859,             0.75598,             0.72476,             0.77799,             0.54672,              1.1522,              1.0099,              1.4852,            0.007393,            0.007393,            0.007393
                  81,              1.2783,              1.5154,              1.4794,             0.78529,             0.71976,             0.79158,             0.55652,              1.1407,             0.98721,              1.4729,             0.00736,             0.00736,             0.00736
                  82,              1.2653,              1.4848,              1.4737,             0.77529,             0.73806,             0.80512,             0.56721,              1.1401,             0.99447,              1.4715,            0.007327,            0.007327,            0.007327
                  83,              1.2621,              1.4791,              1.4694,             0.77805,             0.70626,             0.78626,             0.55556,              1.1482,             0.99786,              1.4762,            0.007294,            0.007294,            0.007294
                  84,               1.259,              1.4758,              1.4692,             0.79697,             0.73783,             0.81141,             0.57633,              1.1354,             0.99127,              1.4591,            0.007261,            0.007261,            0.007261
                  85,              1.2694,              1.4937,              1.4773,             0.78108,             0.72104,             0.80038,               0.573,              1.1209,             0.98084,              1.4532,            0.007228,            0.007228,            0.007228
                  86,              1.2625,              1.4754,              1.4616,              0.7968,             0.71455,             0.79059,             0.56625,              1.1273,             0.98814,              1.4561,            0.007195,            0.007195,            0.007195
                  87,              1.2332,              1.4377,              1.4563,             0.78751,             0.73581,             0.79998,             0.57311,              1.1238,             0.96175,              1.4563,            0.007162,            0.007162,            0.007162
                  88,              1.2402,              1.4538,              1.4532,             0.77184,              0.7516,             0.80474,             0.58228,              1.1027,             0.94704,              1.4412,            0.007129,            0.007129,            0.007129
                  89,              1.2411,              1.4547,              1.4573,             0.78836,             0.75957,             0.81846,             0.59069,              1.0919,             0.93329,              1.4329,            0.007096,            0.007096,            0.007096
                  90,              1.2388,              1.4338,              1.4509,             0.81056,             0.76668,             0.82159,             0.59639,              1.0846,             0.93055,              1.4289,            0.007063,            0.007063,            0.007063
                  91,              1.2354,              1.4234,               1.448,             0.82166,             0.75352,             0.82274,             0.60151,              1.0851,             0.92846,              1.4221,             0.00703,             0.00703,             0.00703
                  92,              1.2233,              1.4281,              1.4423,             0.81687,             0.74868,             0.83053,             0.60891,              1.0785,             0.91627,              1.4192,            0.006997,            0.006997,            0.006997
                  93,               1.228,              1.4322,              1.4409,             0.79492,             0.76141,             0.83801,             0.61274,              1.0723,             0.90018,              1.4131,            0.006964,            0.006964,            0.006964
                  94,              1.2044,              1.3839,              1.4255,             0.81324,             0.75292,             0.83433,             0.60945,              1.0756,             0.90842,              1.4112,            0.006931,            0.006931,            0.006931
                  95,               1.216,              1.4001,              1.4309,             0.81697,             0.75297,             0.83103,             0.60704,              1.0579,             0.89852,              1.3976,            0.006898,            0.006898,            0.006898
                  96,              1.2119,              1.4105,              1.4349,             0.81288,             0.76335,             0.82976,             0.60929,              1.0544,             0.88638,              1.3933,            0.006865,            0.006865,            0.006865
                  97,              1.1919,               1.364,              1.4133,             0.81882,             0.76844,             0.83793,             0.61903,              1.0523,              0.8749,              1.3962,            0.006832,            0.006832,            0.006832
                  98,              1.2086,              1.3856,              1.4258,             0.82861,             0.78003,             0.85373,             0.63352,              1.0354,             0.85606,              1.3798,            0.006799,            0.006799,            0.006799
                  99,              1.1909,              1.3562,              1.4135,             0.81033,             0.78611,             0.84714,             0.63023,               1.034,             0.85824,              1.3808,            0.006766,            0.006766,            0.006766
                 100,              1.1848,              1.3632,              1.4054,               0.834,             0.78045,             0.85244,              0.6361,              1.0229,             0.84997,              1.3691,            0.006733,            0.006733,            0.006733
                 101,               1.172,              1.3597,              1.4138,             0.84358,             0.78771,             0.85681,             0.64302,              1.0199,             0.83929,              1.3655,              0.0067,              0.0067,              0.0067
                 102,              1.1857,              1.3579,              1.4103,             0.83171,             0.79448,             0.86219,             0.64877,              1.0131,             0.83409,              1.3589,            0.006667,            0.006667,            0.006667
                 103,              1.1745,              1.3436,              1.4056,             0.84271,             0.78584,             0.86507,             0.65268,              1.0064,             0.82984,              1.3565,            0.006634,            0.006634,            0.006634
                 104,              1.1833,               1.345,              1.4083,             0.84167,             0.80017,             0.86596,             0.65736,              1.0004,             0.82084,              1.3502,            0.006601,            0.006601,            0.006601
