                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                  1.102,                 0.8978,                 1.2675,                0.87522,                0.74898,                0.83121,                0.61297,                 1.0671,                0.73472,                 1.2617,               0.007294,               0.007294,               0.007294
                     84,                 1.1038,                0.90621,                 1.2728,                0.87204,                0.74604,                0.83445,                0.61359,                 1.0716,                0.72607,                 1.2603,               0.007261,               0.007261,               0.007261
                     85,                 1.0821,                0.89598,                 1.2603,                0.87513,                0.73923,                0.83438,                 0.6232,                 1.0693,                0.72976,                 1.2578,               0.007228,               0.007228,               0.007228
                     86,                 1.0961,                0.89281,                 1.2686,                0.87137,                0.74574,                0.83922,                0.62585,                 1.0577,                0.72094,                 1.2473,               0.007195,               0.007195,               0.007195
                     87,                 1.0767,                0.87628,                 1.2554,                0.88676,                0.73237,                0.83723,                0.63103,                  1.043,                0.71214,                 1.2364,               0.007162,               0.007162,               0.007162
                     88,                 1.0785,                0.88098,                 1.2551,                0.88184,                0.75134,                0.83292,                0.63004,                  1.041,                0.70579,                 1.2406,               0.007129,               0.007129,               0.007129
                     89,                 1.0784,                0.87903,                 1.2556,                0.86544,                0.74998,                0.82963,                0.63048,                 1.0235,                0.70564,                 1.2276,               0.007096,               0.007096,               0.007096
                     90,                 1.0626,                0.86436,                 1.2449,                0.86821,                0.74684,                0.83382,                0.63574,                  1.022,                0.70415,                 1.2247,               0.007063,               0.007063,               0.007063
                     91,                 1.0594,                0.86506,                 1.2474,                0.88397,                0.75134,                0.84111,                0.64321,                 1.0203,                0.69285,                 1.2221,                0.00703,                0.00703,                0.00703
                     92,                 1.0538,                0.85549,                 1.2356,                0.88208,                0.75222,                0.84867,                0.64479,                 1.0064,                0.68736,                 1.2137,               0.006997,               0.006997,               0.006997
                     93,                 1.0497,                0.84902,                 1.2382,                0.90449,                0.74811,                0.85294,                0.65089,                 1.0025,                0.67979,                 1.2113,               0.006964,               0.006964,               0.006964
                     94,                   1.04,                0.84703,                 1.2316,                0.84867,                0.79093,                0.85242,                0.65469,                 0.9985,                0.66997,                 1.2121,               0.006931,               0.006931,               0.006931
                     95,                 1.0349,                 0.8392,                 1.2284,                0.85459,                0.78672,                0.85147,                0.65671,                0.98551,                0.67062,                 1.1998,               0.006898,               0.006898,               0.006898
                     96,                 1.0294,                0.82731,                 1.2269,                0.88848,                0.76415,                0.85556,                0.66211,                0.98632,                0.66514,                 1.1971,               0.006865,               0.006865,               0.006865
                     97,                 1.0219,                0.82475,                 1.2215,                0.88057,                0.77128,                 0.8579,                0.66177,                  0.982,                0.66104,                 1.1932,               0.006832,               0.006832,               0.006832
                     98,                 1.0188,                0.81347,                 1.2197,                0.87521,                0.77601,                0.85932,                0.66584,                0.97789,                 0.6558,                 1.1931,               0.006799,               0.006799,               0.006799
                     99,                 1.0116,                0.80933,                 1.2159,                0.87658,                0.78331,                0.86053,                0.67041,                 0.9676,                0.64877,                 1.1874,               0.006766,               0.006766,               0.006766
                    100,                 1.0031,                0.80697,                 1.2133,                 0.8984,                0.76682,                0.86062,                0.67472,                0.95866,                0.64741,                 1.1807,               0.006733,               0.006733,               0.006733
